00019731-s	gle:lemma	in aice láimhe
00019731-s	gle:lemma	faoi do láimh
00019731-s	gle:lemma	soghluaiste
00019874-a	gle:lemma	dorochtana
00019874-a	gle:lemma	ionadach
00019874-a	gle:lemma	doshroichte
00019874-a	gle:lemma	do-aimsithe
00020410-s	gle:lemma	dorochtana
00020410-s	gle:lemma	doshroichte
00020787-a	gle:lemma	garach
00020787-a	gle:lemma	áiseach
00021110-s	gle:lemma	cabhrach
00021110-s	gle:lemma	soilíosach
00021110-s	gle:lemma	cuidiúil
00021110-s	gle:lemma	comaoineach
00021110-s	gle:lemma	oibleagáideach
00021110-s	gle:lemma	feiliúnach
00021110-s	gle:lemma	garach
00021110-s	gle:lemma	garúil
00021110-s	gle:lemma	maitheasach
00021403-a	gle:lemma	neamhgharach
00021592-s	gle:lemma	drocháiseach
00021592-s	gle:lemma	neamaitheach
00021592-s	gle:lemma	beagmhaitheasach
00021766-a	gle:lemma	cruinn
00021766-a	gle:lemma	grinn
00021766-a	gle:lemma	beacht
00022219-s	gle:lemma	díreach
00022219-s	gle:lemma	cruinn
00022219-s	gle:lemma	fíor
00023120-s	gle:lemma	díreach
00023278-s	gle:lemma	fírinneach
00023383-a	gle:lemma	míchruinn
00023383-a	gle:lemma	neamhbheacht
00023383-a	gle:lemma	neamhchruinn
00023854-s	gle:lemma	lochtach
00024139-s	gle:lemma	neamhchruinn
00024241-s	gle:lemma	ar faraor
00024241-s	gle:lemma	i bhfad ón sprioc
00024241-s	gle:lemma	folamh
00024241-s	gle:lemma	iomrallach
00024417-a	gle:lemma	cleachtach
00024417-a	gle:lemma	cleachta
00024417-a	gle:lemma	taithíoch
00024417-a	gle:lemma	tuartha
00024417-a	gle:lemma	istigh
00024619-s	gle:lemma	cleachta
00024834-a	gle:lemma	ainchleachta
00024834-a	gle:lemma	neamhchleachtach
00024834-a	gle:lemma	gan taithí
00024834-a	gle:lemma	núíosach
00025138-s	gle:lemma	ainchleachta
00025238-a	gle:lemma	aigéadach
00025470-s	gle:lemma	aigéadach
00025470-s	gle:lemma	géar
00025728-a	gle:lemma	alcaileach
00026168-s	gle:lemma	bunata
00027599-s	gle:lemma	glactha
00028280-s	gle:lemma	dearlaicthe
00028471-s	gle:lemma	ceaptha
00028471-s	gle:lemma	barúlach
00029216-s	gle:lemma	do-aithnid
00029343-a	gle:lemma	santach
00029343-a	gle:lemma	cnuasaitheach
00029343-a	gle:lemma	éadálach
00029933-s	gle:lemma	antlásach
00029933-s	gle:lemma	scanraithe chun
00029933-s	gle:lemma	santach
00029933-s	gle:lemma	maoinchíocrach
00029933-s	gle:lemma	amplach
00029933-s	gle:lemma	scanrúil
00029933-s	gle:lemma	airceach
00029933-s	gle:lemma	cíocrach
00029933-s	gle:lemma	gabhálach
00029933-s	gle:lemma	greamaitheach
00030508-s	gle:lemma	sealbhach
00030701-s	gle:lemma	creachach
00030701-s	gle:lemma	ladrannach
00030701-s	gle:lemma	foghlach
00030701-s	gle:lemma	sladach
00031138-s	gle:lemma	cíocrach
00031138-s	gle:lemma	díocasach
00031974-a	gle:lemma	tapúil
00031974-a	gle:lemma	éasca
00031974-a	gle:lemma	tapa
00031974-a	gle:lemma	cróga
00031974-a	gle:lemma	lúfar
00031974-a	gle:lemma	fuinniúil
00031974-a	gle:lemma	luadrach
00031974-a	gle:lemma	rúpach
00031974-a	gle:lemma	beo
00031974-a	gle:lemma	scóipiúil
00031974-a	gle:lemma	friochanta
00031974-a	gle:lemma	briosc
00031974-a	gle:lemma	preabúil
00032733-s	gle:lemma	chomh haclaí le gabhar
00032733-s	gle:lemma	chomh haclaí le naoi bpingine
00032733-s	gle:lemma	lúfar
00032733-s	gle:lemma	aclaí
00032733-s	gle:lemma	éasca
00032733-s	gle:lemma	folúthach
00032733-s	gle:lemma	athlamh
00032733-s	gle:lemma	mear
00032733-s	gle:lemma	beoga
00032733-s	gle:lemma	oscartha
00032733-s	gle:lemma	léimneach
00032733-s	gle:lemma	scodalach
00032733-s	gle:lemma	luaineach
00032733-s	gle:lemma	leabhair
00033475-s	gle:lemma	spórtúil
00033574-a	gle:lemma	neamhghníomhach
00033574-a	gle:lemma	ainéasca
00033574-a	gle:lemma	míthapa
00033574-a	gle:lemma	neamhéasca
00034032-s	gle:lemma	codlatach
00034032-s	gle:lemma	ina chodladh
00034322-s	gle:lemma	laiste
00034322-s	gle:lemma	támhlag
00034322-s	gle:lemma	leasc
00034322-s	gle:lemma	támhach
00034322-s	gle:lemma	spadánta
00034322-s	gle:lemma	marbh
00034322-s	gle:lemma	falsa
00034322-s	gle:lemma	ceanntrom
00034322-s	gle:lemma	míthapa
00034322-s	gle:lemma	támh
00034322-s	gle:lemma	suanach
00034322-s	gle:lemma	mairbhiteach
00034322-s	gle:lemma	marbhánta
00034322-s	gle:lemma	támáilte
00034322-s	gle:lemma	faonlag
00034572-s	gle:lemma	neamh-aistreach
00034572-s	gle:lemma	suite
00035368-s	gle:lemma	scortha
00035368-s	gle:lemma	ar pinsean
00035465-a	gle:lemma	gníomhach
00035465-a	gle:lemma	gnóthach
00035465-a	gle:lemma	cruógach
00035465-a	gle:lemma	beo
00035868-s	gle:lemma	griothalánach
00035868-s	gle:lemma	driopásach
00035868-s	gle:lemma	fómharúil
00035868-s	gle:lemma	fuadrach
00035978-s	gle:lemma	plódaithe
00036163-s	gle:lemma	imeachtach
00036254-s	gle:lemma	oscailte
00036481-a	gle:lemma	marbh
00036998-s	gle:lemma	marbhánta
00037188-s	gle:lemma	marbh
00037188-s	gle:lemma	neamhghnóthach
00037188-s	gle:lemma	ina stad
00039122-s	gle:lemma	gníomhaíoch
00039259-s	gle:lemma	teagmhálach
00039394-s	gle:lemma	forghníomhach
00039394-s	gle:lemma	réamhghníomhach
00039592-a	gle:lemma	éighníomhach
00039592-a	gle:lemma	fulangach
00040058-s	gle:lemma	támh
00040058-s	gle:lemma	marbhánta
00040325-a	gle:lemma	beo
00040534-s	gle:lemma	brúchtach
00040685-a	gle:lemma	ar scor
00040685-a	gle:lemma	suanach
00040685-a	gle:lemma	ina chodladh
00041051-a	gle:lemma	marbh
00041051-a	gle:lemma	ídithe
00041051-a	gle:lemma	spíonta
00041202-s	gle:lemma	marbh
00042228-a	gle:lemma	céasta
00043765-a	gle:lemma	iarbhír
00043765-a	gle:lemma	dearbh
00043765-a	gle:lemma	fíor
00044132-s	gle:lemma	atá ann
00044132-s	gle:lemma	i bhfeidhm
00044353-a	gle:lemma	inoibrithe
00044608-s	gle:lemma	folaitheach
00044760-a	gle:lemma	dona
00045123-a	gle:lemma	leannánta
00045123-a	gle:lemma	ainsealach
00045123-a	gle:lemma	i bhfostú
00046109-a	gle:lemma	oiriúnaitheach
00047029-a	gle:lemma	tugtha
00047029-a	gle:lemma	an-tugtha
00047029-a	gle:lemma	luiteach
00047029-a	gle:lemma	ligthe
00047243-s	gle:lemma	faoi chuing na dí
00047243-s	gle:lemma	meisciúil
00047243-s	gle:lemma	óltach
00047243-s	gle:lemma	ólta
00047406-s	gle:lemma	spleách
00047786-a	gle:lemma	andúileach
00048129-a	gle:lemma	breiseánach
00048129-a	gle:lemma	breisiúil
00048460-s	gle:lemma	carnach
00048858-s	gle:lemma	eile
00048858-s	gle:lemma	sa bhreis
00048858-s	gle:lemma	breise
00049016-s	gle:lemma	comhlántach
00049016-s	gle:lemma	forlíontach
00049266-s	gle:lemma	incriminteach
00050641-a	gle:lemma	seolta
00051373-s	gle:lemma	geall le
00051696-a	gle:lemma	neamhimleor
00051696-a	gle:lemma	gearr
00051696-a	gle:lemma	gan a bheith in ann
00051696-a	gle:lemma	neamhleor
00051696-a	gle:lemma	easnamhach
00051696-a	gle:lemma	slim
00051696-a	gle:lemma	uireasach
00051696-a	gle:lemma	easpach
00052431-s	gle:lemma	gann i bhfoireann
00052672-a	gle:lemma	greamaitheach
00053384-s	gle:lemma	comhghreamaithe
00053384-s	gle:lemma	comhtháite
00053691-s	gle:lemma	gumach
00053691-s	gle:lemma	glaeúil
00053691-s	gle:lemma	taosach
00053691-s	gle:lemma	ramhar
00053691-s	gle:lemma	ceangailteach
00053691-s	gle:lemma	greamaitheach
00053691-s	gle:lemma	righin
00053691-s	gle:lemma	práibeach
00053691-s	gle:lemma	támáilte
00053691-s	gle:lemma	bealaithe
00053691-s	gle:lemma	slaodach
00054364-s	gle:lemma	tarrach
00054364-s	gle:lemma	úscach
00056002-a	gle:lemma	gréasaithe
00056002-a	gle:lemma	faoi mhaise
00056002-a	gle:lemma	maisithe
00056002-a	gle:lemma	fáinneach
00056660-s	gle:lemma	seodmhar
00057149-s	gle:lemma	bocóideach
00057149-s	gle:lemma	éiritheach
00057992-s	gle:lemma	cuircíneach
00057992-s	gle:lemma	curcach
00057992-s	gle:lemma	starraiceach
00057992-s	gle:lemma	círíneach
00058280-s	gle:lemma	armasach
00058280-s	gle:lemma	faoi armas
00058554-s	gle:lemma	cleiteach
00058554-s	gle:lemma	eiteach
00058696-s	gle:lemma	rufach
00059131-s	gle:lemma	iontlaise
00059782-s	gle:lemma	greagnaithe
00059782-s	gle:lemma	bocóideach
00060294-s	gle:lemma	bobailíneach
00060294-s	gle:lemma	cocach
00060397-a	gle:lemma	pléineáilte
00060397-a	gle:lemma	lom
00061262-a	gle:lemma	aclaí
00061262-a	gle:lemma	deaslámhach
00061885-s	gle:lemma	intleachtach
00061885-s	gle:lemma	seiftiúil
00061885-s	gle:lemma	glic
00061885-s	gle:lemma	cliste
00061885-s	gle:lemma	oirbheartach
00062367-s	gle:lemma	solámhach
00062367-s	gle:lemma	luathlámhach
00062367-s	gle:lemma	sásta
00062367-s	gle:lemma	deaslámhach
00062367-s	gle:lemma	aclaí
00062367-s	gle:lemma	reabhrach
00062367-s	gle:lemma	lannach
00062367-s	gle:lemma	deisealach
00062367-s	gle:lemma	cliste
00062367-s	gle:lemma	innealta
